Region code,Region name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E12000001,North East,1533,1724,1854,1893,1791,1688,1665,1585,1565,1530,1552,1582,1597
E12000002,North West,1759,2040,2178,2256,2113,1964,1935,1850,1800,1801,1856,1933,2007
E12000003,Yorkshire and The Humber,1829,2121,2258,2406,2251,2031,2015,1931,1864,1865,1917,1964,2049
E12000004,East Midlands,1836,1959,2058,2095,1949,1763,1697,1697,1704,1689,1782,1850,1941
E12000005,West Midlands,1923,2119,2196,2265,2159,1986,1987,1953,1938,1943,2036,2079,2189
E12000006,East,2766,2920,3073,3266,3141,2816,2948,2982,2989,3097,3272,3521,3852
E12000007,London,4515,4669,4987,5600,5580,5340,5864,5988,6064,6450,7170,7518,8323
E12000008,South East,2943,3107,3231,3525,3361,3027,3218,3182,3207,3267,3508,3727,4079
E12000009,South West,2469,2612,2760,2951,2853,2571,2615,2582,2561,2595,2729,2839,2992
W92000004,Wales,1914,2140,2212,2334,2188,2002,1936,1909,1848,1817,1888,1896,2018
E92000001,England,2946,3098,3276,3536,3400,3191,3490,3481,3572,3689,3863,3966,4105
K04000001,England and Wales,2924,3078,3253,3507,3365,3157,3449,3441,3527,3642,3807,3910,4045